
[00000001] [ Network ] [2018-06-18 11:21:36 / SYSTEM ]   NetworkStart IP = 0.0.0.0, PORT = 12001, SessionMax = 5000, WorkerThreadNum = 10
[00000002] [ Network ] [2018-06-18 11:21:36 / SYSTEM ]  Worker Thread_Start
[00000003] [ Network ] [2018-06-18 11:21:36 / SYSTEM ]  AcceptThread_Start
[00000004] [ Network ] [2018-06-18 11:21:36 / SYSTEM ]  Worker Thread_Start
[00000005] [ Network ] [2018-06-18 11:21:36 / SYSTEM ]  Worker Thread_Start
[00000006] [ Network ] [2018-06-18 11:21:36 / SYSTEM ]  Worker Thread_Start
[00000007] [ Network ] [2018-06-18 11:21:36 / SYSTEM ]  Worker Thread_Start
[00000008] [ Network ] [2018-06-18 11:21:36 / SYSTEM ]  Worker Thread_Start
[00000009] [ Network ] [2018-06-18 11:21:36 / SYSTEM ]  Worker Thread_Start
[00000010] [ Network ] [2018-06-18 11:21:36 / SYSTEM ]  Worker Thread_Start
[00000011] [ Network ] [2018-06-18 11:21:36 / SYSTEM ]  Worker Thread_Start
[00000012] [ Network ] [2018-06-18 11:21:36 / SYSTEM ]  Worker Thread_Start
